	Title	Authors	Number of URL Namespaces	Number of Regex Namespaces	Number of URL Annotations	Number of Regex Annotations	Number of Local Annotations	Number of Nodes	Number of Edges	Number of Citations	Number of Authors	Network Density	Number of Components	Number of Warnings
misc/damesquita2018.bel	Curation of Neurodegeneration in BEL (CONIB)	Trusha Adeshara, Rana Al Disi, Daniel Domingo-Fernández, Yojana Gadiya, Stephan Gebel, Sepehr Golriz, Charles Tapley Hoyt, Kristian Kolpeja, Sandra Spalek, Esther Wollert, Lingling Xu	21	17	12	9	35	51	120	1	23	4.71E-02	1	0
misc/gant2018.bel	FK506-Binding Protein 12.6/1b, a Negative Regulator of [Ca2], Rescues Memory and Restores Genomic Regulation in the Hippocampus of Aging Rats	Lingling Xu	5	0	4	0	0	30	51	1	7	5.86E-02	1	0
misc/maniati2019.bel	New insights into the role of microRNAs and long noncoding RNAs in most common neurodegenerative diseases	Sandra Spalek	8	0	4	1	0	94	181	1	5	2.07E-02	2	0
hpoxia/russo2019.bel	Hypoxia and Inflammation as a Consequence of β-Fibril Accumulation: A Perspective View for New Potential Therapeutic Targets.	Yojana Gadiya	8	3	2	1	0	103	160	1	7	1.52E-02	3	0
nfkb/bhardwaj2015.bel	RelB/p50 complexes regulate cytokine-induced YKL-40 expression	Sandra Spalek	5	1	4	1	0	37	92	1	10	6.91E-02	2	0
nfkb/chen2012.bel	Increased NF-κB signalling up-regulates BACE1 expression and its therapeutic potential in Alzheimer's disease.	Esther Wollert	6	1	3	1	0	20	35	1	9	9.21E-02	1	0
nfkb/marwarha2017.bel	Nuclear Factor Kappa-light-chain-enhancer of Activated B Cells (NF-κB) - a Friend, a Foe, or a Bystander - in the Neurodegenerative Cascade and Pathogenesis of Alzheimer's Disease	Sandra Spalek	7	1	6	1	0	144	305	1	2	1.48E-02	1	0
nfkb/seo2017.bel	Phytochemicals as inhibitors of NF-κB for treatment of Alzheimer’s disease	Esther Wollert	7	1	5	1	0	134	259	1	3	1.45E-02	1	0
nfkb/shi2016.bel	Upstream regulators and downstream effectors of NF-κBinAlzheimer's disease	Esther Wollert	8	1	5	1	0	99	218	1	10	2.25E-02	1	0
nfkb/srinivasan2015.bel	Significance of NF-κB as a pivotal therapeutic target in the neurodegenerative pathologies of Alzheimer's disease and multiple sclerosis	Sandra Spalek	6	0	4	1	0	75	154	1	2	2.77E-02	1	0
ms/boxberger209.bel	Dysregulation of Inflammasome Priming and Activation by MicroRNAs in Human Immune-Mediated Diseases.	Yojana Gadiya	11	5	8	1	0	195	451	1	3	1.19E-02	3	0
ms/brownlee2016.bel	Diagnosis of multiple sclerosis: progress and challenges	Trusha Adeshara	11	2	9	1	0	76	126	1	4	2.21E-02	3	0
ms/cappa2017.bel	Pediatric Multiple Sclerosis: Genes, Environment, and a Comprehensive Therapeutic Approach.	Yojana Gadiya	8	4	6	1	0	89	137	1	3	1.75E-02	5	0
ms/comi2016.bel	Evolving concepts in the treatment of relapsing multiple sclerosis	Trusha Adeshara	9	1	8	1	0	76	86	1	4	1.51E-02	2	0
ms/correale2017.bel	Progressive multiple sclerosis: from pathogenic mechanisms to treatment	Yojana Gadiya	7	1	7	1	0	177	317	1	4	1.02E-02	4	1
ms/doshi2016.bel	Multiple sclerosis, a treatable disease.	Yojana Gadiya	9	2	3	0	0	95	151	1	2	1.69E-02	2	0
ms/garg2015.bel	An update on immunopathogenesis, diagnosis, and treatment of multiple sclerosi	Trusha Adeshara	10	0	6	1	0	142	219	1	2	1.09E-02	1	0
ms/ontaneda2016.bel	Progressive multiple sclerosis: prospects for disease therapy, repair, and restoration of function	Trusha Adeshara	11	2	9	1	0	54	72	1	4	2.52E-02	3	0
ms/wang2019.bel	Targeting Microglia and Macrophages: A Potential Treatment Strategy for Multiple Sclerosis	Trusha Adeshara	12	2	8	1	0	147	362	1	4	1.69E-02	3	0
hdac6/carlomagno2017.bel	An acetylation-phosphorylation switch that regulates tau aggregation propensity and function.	Yojana Gadiya	4	1	3	1	0	39	84	1	11	5.67E-02	1	0
hdac6/cohen2011.bel	The acetylation of tau inhibits its function and promotes pathological tau aggregation.	Yojana Gadiya	6	0	5	1	0	49	99	1	7	4.21E-02	1	0
hdac6/cook2014.bel	Acetylation: a new key to unlock tau's role in neurodegeneration..	Yojana Gadiya	9	1	6	1	0	72	182	1	5	3.56E-02	1	0
hdac6/deydewalle2012.bel	HDAC6 at the Intersection of Neuroprotection and Neurodegeneration.	Yojana Gadiya	8	1	5	1	0	95	178	1	3	1.99E-02	3	0
hdac6/fan2018.bel	he novel histone de acetylase 6 inhibitor, MPT0G211, ameliorates tau phosphorylation and cognitive deficits in an Alzheimer's disease model.	Yojana Gadiya	11	1	4	1	0	44	91	1	4	4.81E-02	1	0
hdac6/iaconelli2015.bel	HDAC6 inhibitors modulate Lys49 acetylation and membrane localization of β-catenin in human iPSC-derived neuronal cells.	Yojana Gadiya	6	1	2	1	0	34	99	1	8	8.82E-02	1	0
hdac6/iaconelli2019.bel	HDAC6 Modulates Signaling Pathways Relevant to Synaptic Biology and Neuronal Differentiation in Human Stem-Cell-Derived Neurons.	Yojana Gadiya	9	1	5	1	0	111	231	1	3	1.89E-02	2	0
hdac6/ma2018.bel	Pharmacological inhibition of HDAC6 reverses cognitive impairment and tau pathology as a result of cisplatin treatment.	Yojana Gadiya	6	1	3	1	0	23	44	1	5	8.70E-02	1	0
hdac6/min2018.bel	SIRT1 Deacetylates Tau and Reduces Pathogenic Tau Spread in a Mouse Model of Tauopathy	Yojana Gadiya	6	0	4	1	0	26	45	1	10	6.92E-02	2	0
hdac6/park2018.bel	Degradation or aggregation: the ramifications of post-translational modifications on tau.	Yojana Gadiya	7	0	3	1	0	99	231	1	4	2.38E-02	3	0
app/elliott2018.bel	A role for APP in Wnt signalling links synapse loss with β-amyloid production.	Esther Wollert	5	1	10	1	0	22	60	1	13	1.30E-01	1	0
app/hussain1999.bel	Identification of a novel aspartic protease (Asp 2) as beta-secretase	Rana Aldisi	15	2	10	1	0	11	19	1	15	1.73E-01	1	0
app/maccecchini2012.bel	Posiphen as a candidate drug to lower CSF amyloid precursor protein, amyloid-b peptide and s levels: target engagement, tolerability and pharmacokinetics in humans	Lingling Xu	15	4	10	7	3	11	13	1	6	1.18E-01	1	0
app/morsy2018.bel	Amyloid-Binding Alcohol Dehydrogenase (ABAD) Inhibitors for the Treatment of Alzheimer’s Disease	Esther Wollert	15	4	11	1	0	85	119	1	2	1.67E-02	2	0
app/mroczko2018.bel	Amyloid β oligomers (AβOs) in Alzheimer’s disease	Esther Wollert	6	0	5	1	0	57	97	1	5	3.04E-02	1	0
app/thinakaran2008.bel	Amyloid Precursor Protein Trafficking, Processing, and Function	Esther Wollert	6	0	10	1	0	40	48	1	2	3.08E-02	1	0
app/yeon2007.bel	Effects of peptides derived from BACE1 catalytic domain on APP processing	Rana Aldisi	15	2	10	1	0	10	30	1	4	3.33E-01	1	0
app/zhang2011.bel	APP processing in Alzheimer's disease	Sandra Spalek	6	1	5	0	1	144	265	1	4	1.29E-02	4	0
app/zhang2012.bel	Proteolytic processing of Alzeimer's beta-amyloid precursor protein	Sandra Spalek	9	0	10	0	1	132	226	1	4	1.31E-02	3	0
biomarkers/cdr_sb_associations.bel	CDR-SB Associations	Lukas Beniusis, Charles Tapley Hoyt, and Daniel Domingo-Fernández	7	2	6	1	2	93	166	30	350	1.94E-02	7	0
biomarkers/cdr_story.bel	KANSL1 Subgraph and CDR Story	Sepehr Golriz, Daniel Domingo-Fernández, Charles Tapley Hoyt	9	0	11	0	1	128	209	15	139	1.29E-02	1	0
biomarkers/genetics.bel	Genetic Biomarkers for Alzheimer's Disease	Sepehr Golriz, Daniel Domingo-Fernández, Charles Tapley Hoyt	10	1	8	1	0	399	1085	72	1103	6.83E-03	6	0
biomarkers/neuroimaging.bel	Neuroimaging Biomarkers	Sepehr Golriz, Daniel Domingo-Fernández, Charles Tapley Hoyt	8	1	7	0	0	130	310	40	340	1.85E-02	2	0
mtor/ryskalin2018.bel	mTOR-Related Brain Dysfunctions in Neuropsychiatric Disorders	Sandra Spalek	8	1	7	1	0	129	344	1	5	2.08E-02	2	0
mitochondrial-dysfunction/qi2019.bel	Dynamin-related protein 1: A critical protein in the pathogenesis of neural system dysfunctions and neurodegenerative diseases.	Yojana Gadiya	11	4	7	1	0	206	527	1	4	1.25E-02	1	0
receptors/albuquerque2009.bel	albuquerque2009	Rana Aldisi	15	4	10	1	0	269	498	1	4	6.91E-03	9	0
receptors/buckingham2009.bel	Nicotinic acetylcholine receptor signalling: roles in Alzheimer's disease and amyloid neuroprotection.	Rana Aldisi	15	2	10	1	0	234	564	1	4	1.03E-02	2	0
receptors/changeux2012.bel	The Nicotinic Acetylcholine Receptor: The Founding Father of the Pentameric Ligand-gated Ion Channel Superfamily	Lingling Xu	13	1	10	0	0	54	61	1	1	2.13E-02	2	0
receptors/choi2014.bel	Activation of M1 and M4 muscarinic receptors as potential treatments for Alzheimer's disease and schizophrenia.	Rana Aldisi	15	2	10	1	0	97	208	1	4	2.23E-02	1	0
receptors/corradi2016.bel	Understanding the Bases of Function and Modulation of alpha7 Nicotinic Receptors: Implications for Drug Discovery.	Trusha Adeshara	12	2	7	1	0	59	109	1	2	3.19E-02	1	0
receptors/dani2007.bel	Nicotinic Acetylcholine Receptors and Nicotinic Cholinergic Mechanisms of the Central Nervous System	Esther Wollert and Charles Tapley Hoyt	6	1	10	1	0	86	196	1	2	2.68E-02	2	0
receptors/dani2015.bel	Neuronal Nicotinic Acetylcholine Receptor Structure and Function and Response to Nicotine	Esther Wollert	15	3	10	1	0	23	33	1	1	6.52E-02	2	0
receptors/djouma2006.bel	The CRF1 receptor antagonist, antalarmin, reverses isolation-induced up-regulation of dopamine D2 receptors in the amygdala and nucleus accumbens of fawn-hooded rats	Lingling Xu	15	4	10	1	0	18	34	1	4	1.11E-01	1	0
receptors/echeverria2012.bel	Cotinine: a potential new therapeutic agent against Alzheimer's disease	Trusha Adeshara	11	2	9	1	0	78	174	1	2	2.90E-02	1	0
receptors/ferreira-vieira2016.bel	Alzheimer's Disease: Targeting the Cholinergic System	Sandra Spalek	15	4	10	1	0	161	300	1	4	1.16E-02	3	0
receptors/forest2019.bel	Assessing Neuroprotective Agents for Aβ-Induced Neurotoxicity	Trusha Adeshara	10	1	6	1	0	74	120	1	2	2.22E-02	2	0
receptors/francis2016.bel	Interplay of neurotransmitters in Alzheimer's disease	Rana Aldisi	5	0	5	1	0	43	83	1	1	4.60E-02	1	0
receptors/jiang2014.bel	M1 muscarinic acetylcholine receptor in Alzheimer’s disease	Rana Aldisi	15	2	10	1	0	134	234	1	7	1.31E-02	4	0
receptors/kabbani2018.bel	Beyond the Channel: Metabotropic Signaling by Nicotinic Receptors.	Trusha Adeshara	12	2	7	1	0	115	224	1	2	1.71E-02	2	0
receptors/kalkman2016.bel	Modulatory effects of α7 nAChRs on the immune system and its relevance for CNS disorders	Trusha Adeshara	12	2	7	1	0	171	330	1	2	1.14E-02	2	0
receptors/king2015.bel	Identification and Characterization of a G Protein-binding Cluster in alpha7 Nicotinic Acetylcholine Receptors	Rana Aldisi	15	4	10	1	0	39	90	1	5	6.07E-02	2	0
receptors/lombardo2015.bel	Role of the nicotinic acetylcholine receptor in Alzheimer's disease pathology and treatment	Sandra Spalek	15	4	10	1	0	124	246	1	2	1.61E-02	2	0
receptors/lombardo2015b.bel	A role for b2* nicotinic receptors in a model of local amyloid pathology induced in dentate gyrus	Sandra Spalek	15	1	10	1	0	21	40	1	4	9.52E-02	1	0
receptors/lorenz2014.bel	Nicotinic α4β2 acetylcholine receptors and cognitive function in Parkinson's disease	Lingling Xu	13	1	10	0	0	9	21	1	8	2.92E-01	1	0
receptors/majdi2019.bel	Molecular Insights Into Memory-Enhancing Metabolites of Nicotine in Brain: A Systematic Review.	Trusha Adeshara	12	2	9	1	0	80	139	1	4	2.20E-02	1	0
receptors/mandrekar2011.bel	Nuclear receptors as therapeutic targets for Alzheimer's disease.	Esther Wollert	10	2	10	1	0	82	169	1	2	2.54E-02	4	0
receptors/matta2017.bel	NACHO Mediates Nicotinic Acetylcholine Receptor Function throughout the Brain	Sandra Spalek	15	1	10	1	0	63	120	1	7	3.07E-02	1	0
receptors/miwa2011.bel	Neural Systems Governed by Nicotinic Acetylcholine Receptors: Emerging Hypotheses	Sandra Spalek	15	1	10	1	0	106	237	1	3	2.13E-02	3	0
receptors/mufson2008.bel	Cholinergic system during the progression of Alzheimer’s disease: therapeutic implications	Rana Aldisi	9	0	5	1	0	175	308	1	4	1.01E-02	2	0
receptors/nordberg2001.bel	Nicotinic Receptor Abnormalities of Alzheimer’s Disease: Therapeutic Implications	Sandra Spalek	15	4	10	1	0	59	124	1	1	3.62E-02	2	2
receptors/post-munson2017.bel	B-973, a novel piperazine positive allosteric modulator of the α7 nicotinic acetylcholine receptor	Sandra Spalek	15	4	10	1	0	13	20	1	14	1.28E-01	1	0
receptors/ren2007.bel	The alpha7 nicotinic receptor agonist 4OH-GTS-21 protects axotomized septohippocampal cholinergic neurons in wild type but not amyloid-overexpressing transgenic mice	Sandra Spalek	15	4	10	1	0	13	13	1	8	8.33E-02	1	0
receptors/sadigh-eteghad2015.bel	Selective activation of α7 nicotinic acetylcholine receptor by PHA-543613 improves Aβ25-35-mediated cognitive deficits in mice	Rana Aldisi	15	4	10	1	0	11	35	1	5	3.18E-01	1	0
receptors/taly2009.bel	Nicotinic receptors: allosteric transitions and therapeutic targets in the nervous system	Rana Aldisi	15	4	10	1	0	117	210	1	5	1.55E-02	11	0
receptors/valles2011.bel	Chaperoning α7 neuronal nicotinic acetylcholine receptors	Esther Wollert	13	3	10	1	0	76	113	1	2	1.98E-02	2	0
receptors/walsh2008.bel	Up-regulation of Nicotinic Receptors by Nicotine Varies with Receptor Subtype	Esther Wollert	15	4	10	1	0	8	12	1	7	2.14E-01	1	0
receptors/wang2016.bel	Estrogen receptor-α is localized to neurofibrillary tangles in Alzheimer's disease	Esther Wollert	13	1	10	0	0	10	17	1	9	1.89E-01	1	0
receptors/wu2011.bel	Naturally-expressed nicotinic acetylcholine receptor subtypes	Esther Wollert	15	4	10	1	0	49	82	1	2	3.49E-02	2	0
receptors/zoli2018.bel	Neuronal and Extraneuronal Nicotinic Acetylcholine Receptors.	Lingling Xu	13	3	10	0	0	110	208	1	4	1.73E-02	2	2
immunotherapy/jadhav2013.bel	Protein truncation as a common denominator of human neurodegenerative foldopathies	Yojana Gadiya	7	1	4	1	0	151	306	1	3	1.35E-02	1	0
immunotherapy/kontsekova2014.bel	Identification of structural determinants on tau protein essential for its pathological function: novel therapeutic target for tau immunotherapy in Alzheimer’s disease	Yojana Gadiya	5	0	2	1	0	31	51	1	1	5.48E-02	1	1
immunotherapy/kontsekova2014_2.bel	First-in-man tau vaccine targeting structural determinants essential for pathological tau-tau interaction reduces tau oligomerisation and neurofibrillary degeneration in an Alzheimer's disease model	Yojana Gadiya	6	0	4	1	0	44	71	1	5	3.75E-02	1	0
adnp/hacohen-kleiman2018.bel	Activity-dependent neuroprotective protein deficiency models synaptic and developmental phenotypes of autism-like syndrome	Sandra Spalek	4	1	4	1	0	70	169	1	10	3.50E-02	1	0
adnp/sragovich2019.bel	The autism/neuroprotection-linked ADNP/NAP regulate the excitatory glutamatergic synapse	Sandra Spalek	6	1	3	1	0	27	66	1	8	9.40E-02	1	0
adnp/van-dijck2019.bel	Clinical presentation of a complex neurodevelopmental disorder caused by mutations in ADNP	Esther Wollert	3	0	1	0	0	29	32	1	21	3.94E-02	1	0
adnp/ziv2018.bel	Activity-dependent neuroprotective protein (ADNP) is an alcohol-responsive gene and negative regulator of alcohol consumption in female mice	Sandra Spalek	4	1	3	1	0	12	29	1	10	2.20E-01	1	0
anatabine/caturegli2012.bel	Anatabine ameliorates experimental autoimmune thyroiditis.	Esther Wollert	5	0	3	1	0	16	20	1	7	8.33E-02	2	0
anatabine/paris2011.bel	Anatabine lowers Alzheimer's Aβ production in vitro and in vivo	Sandra Spalek	5	1	5	1	0	22	40	1	10	8.66E-02	1	0
anatabine/paris2013.bel	Anti-inflammatory activity of anatabine via inhibition of STAT3 phosphorylation	Sandra Spalek	14	4	10	1	0	25	78	1	9	1.30E-01	2	0
anatabine/paris2013b.bel	Amelioration of Experimental Autoimmune Encephalomyelitis by Anatabine	Sandra Spalek	15	4	10	1	0	25	82	1	8	1.37E-01	1	0
anatabine/paris2014.bel	Anatabine Attenuates Tau Phosphorylation and Oligomerization in P301S Tau Transgenic Mice	Sandra Spalek	6	0	2	1	0	18	30	1	0	9.80E-02	1	0
anatabine/rosecrans2017.bel	Discriminative Stimulus Properties of S(−)-Nicotine: “A Drug for All Seasons	Sandra Spalek	5	1	4	1	0	69	100	1	2	2.13E-02	3	0
anatabine/verma2015.bel	Chronic Anatabine Treatment Reduces Alzheimer ’ s Disease (AD)-Like Pathology and Improves Socio-Behavioral Deficits in a Transgenic Mouse Model of AD	Esther Wollert	17	4	11	1	0	22	41	1	7	8.87E-02	1	0
anatabine/wang2009.bel	Silencing of PMT expression caused a surge of anatabine accumulation in tobacco	Sandra Spalek	17	4	11	1	0	13	21	1	6	1.35E-01	1	0
oxidative-stress/hybertson2011.bel	Oxidative stress in health and disease: The therapeutic potential of Nrf2 activation	Sandra Spalek	15	4	11	1	0	156	318	1	4	1.32E-02	6	0
oxidative-stress/shefa2019.bel	Mitophagy links oxidative stress conditions and neurodegenerative diseases	Esther Wollert	8	1	4	1	0	84	165	1	7	2.37E-02	1	0
phagocytosis/deming2019.bel	The MS4A gene cluster is a key modulator of soluble TREM2 and Alzheimer’s disease risk	Yojana Gadiya	4	1	2	1	0	27	51	1	36	7.26E-02	2	0
pp2a/seshacharyulu2013.bel	Phosphatase: PP2A structural importance, regulation and its aberrant expression in cancer	Esther Wollert	15	4	11	1	0	88	151	1	4	1.97E-02	1	0
pp2a/shi2009.bel	Assembly and structure of protein phosphatase 2A	Sandra Spalek	15	4	11	1	0	67	179	1	1	4.05E-02	1	0
